local,ensino_secundario_completo,Edificios Concluidos,Vendas,Taxa_Criminalidade,retencao_desistencia_ensino_basico,Total_Pedidos_Residencia,empregada_por_conta_outrem_com_ensino_superior,taxa_bruta_escolarizacao_ensino_secundario,Densidade_alojamentos,ganho_mensal,Taxa de crescimento efetivo,Valor_Medio_Pensoes,Estabelecimentos,Saldo migratório,votos_por_partido_ou_coligacao_x,populacao_ativa,votos_por_partido_ou_coligacao_y,residente_empregada_estudante,valor_processado_IRS,num_estabelecimentos_ensino_nao_superior,Total_Crimes,Desemprego,Idade da população residente,taxa_de_abstenção,Volume de negócios,Duracao_Sub_desemprego,poder_de_compra,Sessões de espetáculos ao vivo,Pessoal ao serviço dos estabelecimentos ,Beneficiários_Abono_Familia,pop_empregada_outrem_escalão,Rendas,Bens imóveis,Valor médio dos bilhetes vendidos,Alojamentos,taxa_emprego,credito_habitacao_permanente,votos_nulos_assembleias_municipais,pop_inscrita_eleicoes_assembleias_municipais,Beneficiários_RSI_1000_habitantes,Despesas em bibliotecas e arquivos,Indice Renovacao,Densidade populacional,rendimento_bruto,matriculados_ensino_nao_superior
Mirandela,1.0,0.0,0.0,27.7,0.0,293.0,1.0,2.0,0.0,0.0,0.32,4362.0,0.0,261.0,1.0,0.0,1.0,0.0,771.0,0.0,593.0,517.0,31.6,1.0,0.0,172.0,1.0,0.0,0.0,1815.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,30.44,0.0,66.8,32.4,1.0,0.0
Mogadouro,0.0,0.0,,14.3,1.0,28.0,1.0,2.0,0.0,0.0,-0.28,4275.0,0.0,62.0,1.0,0.0,1.0,0.0,395.0,0.0,118.0,122.0,37.0,0.0,0.0,174.0,0.0,0.0,0.0,533.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,36.75,0.0,47.8,10.9,0.0,0.0
Moimenta da Beira,0.0,0.0,0.0,30.2,0.0,127.0,1.0,2.0,0.0,0.0,1.21,4397.0,0.0,184.0,1.0,0.0,1.0,0.0,775.0,0.0,294.0,225.0,28.5,1.0,0.0,199.0,0.0,0.0,0.0,821.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,68.83,0.0,69.0,43.7,0.0,0.0
Moita,1.0,0.0,2.0,34.9,1.0,3077.0,0.0,1.0,1.0,0.0,1.61,6905.0,0.0,1139.0,0.0,1.0,0.0,0.0,3716.0,0.0,2403.0,2871.0,24.0,2.0,0.0,177.0,1.0,0.0,0.0,6917.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,52.05,0.0,86.4,1227.8,1.0,0.0
Monchique,0.0,0.0,,33.4,1.0,192.0,0.0,0.0,0.0,0.0,-0.75,4861.0,0.0,33.0,1.0,0.0,1.0,0.0,105.0,0.0,178.0,116.0,34.3,0.0,0.0,174.0,0.0,0.0,0.0,384.0,0.0,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,14.28,0.0,44.5,13.6,0.0,0.0
Mondim de Basto,0.0,0.0,,23.7,0.0,22.0,0.0,1.0,0.0,0.0,-0.06,4386.0,0.0,55.0,1.0,0.0,1.0,0.0,184.0,0.0,152.0,110.0,29.9,1.0,0.0,207.0,0.0,0.0,0.0,512.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,33.19,0.0,67.2,37.2,0.0,0.0
Monforte,0.0,0.0,,21.7,0.0,18.0,1.0,0.0,0.0,1.0,0.9,5152.0,0.0,52.0,2.0,0.0,2.0,0.0,433.0,0.0,65.0,80.0,25.1,0.0,0.0,188.0,0.0,0.0,0.0,269.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.62,0.0,81.5,7.1,0.0,0.0
Montalegre,0.0,0.0,,27.8,0.0,31.0,0.0,1.0,0.0,0.0,0.03,4264.0,0.0,155.0,1.0,0.0,1.0,0.0,299.0,0.0,254.0,125.0,38.2,1.0,0.0,189.0,0.0,0.0,0.0,527.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.58,0.0,47.6,11.3,0.0,0.0
Montemor-o-Novo,1.0,0.0,0.0,33.6,1.0,299.0,0.0,1.0,0.0,0.0,0.35,5795.0,0.0,223.0,0.0,0.0,0.0,0.0,166.0,0.0,536.0,322.0,29.7,1.0,0.0,159.0,1.0,0.0,0.0,1164.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.66,0.0,67.0,12.9,1.0,0.0
Montemor-o-Velho,1.0,0.0,0.0,17.1,0.0,205.0,0.0,1.0,0.0,0.0,0.68,5808.0,0.0,321.0,1.0,0.0,1.0,0.0,333.0,0.0,425.0,658.0,29.1,1.0,0.0,158.0,0.0,0.0,0.0,1568.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,11.0,0.0,62.7,108.0,1.0,0.0
