local,codigo,Valor mediano das vendas por m2
Tomar,1D21418,943
Torres Novas,1D21419,889
Vila Nova da Barquinha,1D21420,1097
Lezíria do Tejo,1D3,1218
Almeirim,1D31403,1117
Alpiarça,1D31404,977
Azambuja,1D31103,1329
Benavente,1D31405,1538
Cartaxo,1D31406,1172
Chamusca,1D31407,712
Coruche,1D31409,1171
Golegã,1D31412,851
Rio Maior,1D31414,1041
Salvaterra de Magos,1D31415,1435
Santarém,1D31416,1194
Grande Lisboa,1A,2939
Grande Lisboa,1A0,2939
Amadora,1A01115,2481
Águas Livres,1A0111513,2560
Alfragide,1A0111512,2862
Encosta do Sol,1A0111514,2509
Falagueira-Venda Nova,1A0111515,2454
Mina de Água,1A0111516,2446
Venteira,1A0111517,2412
Cascais,1A01105,4053
Alcabideche,1A0110501,3676
São Domingos de Rana,1A0110506,3306
União das freguesias de Carcavelos e Parede,1A0110507,4289
União das freguesias de Cascais e Estoril,1A0110508,5000
Lisboa,1A01106,4340
Ajuda,1A0110601,4082
Alcântara,1A0110602,4363
Alvalade,1A0110654,4647
Areeiro,1A0110655,4853
Arroios,1A0110656,4271
Avenidas Novas,1A0110657,4680
Beato,1A0110607,3982
Belém,1A0110658,4917
Benfica,1A0110608,3971
Campo de Ourique,1A0110659,5204
Campolide,1A0110610,4773
Carnide,1A0110611,4197
Estrela,1A0110660,5474
Lumiar,1A0110618,3885
Marvila,1A0110621,5623
Misericórdia,1A0110661,5405
Olivais,1A0110633,3523
Parque das Nações,1A0110662,5171
Penha de França,1A0110663,3649
Santa Clara,1A0110664,3416
Santa Maria Maior,1A0110665,5200
Santo António,1A0110666,5879
São Domingos de Benfica,1A0110639,4198
São Vicente,1A0110667,4638
Loures,1A01107,2609
Bucelas,1A0110702,1737
Fanhões,1A0110705,0
Loures,1A0110707,2812
Lousa,1A0110708,0
"União das freguesias de Camarate, Unhos e Apelação",1A0110731,2170
União das freguesias de Moscavide e Portela,1A0110726,3189
União das freguesias de Sacavém e Prior Velho,1A0110727,2666
"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",1A0110728,2391
União das freguesias de Santo Antão e São Julião do Tojal,1A0110729,2715
União das freguesias de Santo António dos Cavaleiros e Frielas,1A0110730,2623
Mafra,1A01109,2410
Carvoeira,1A0110902,3294
Encarnação,1A0110904,1856
Ericeira,1A0110906,3406
Mafra,1A0110909,2539
Milharado,1A0110911,1946
Santo Isidoro,1A0110913,3007
União das freguesias de Azueira e Sobral da Abelheira,1A0110918,1709
"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário",1A0110919,2226
União das freguesias de Igreja Nova e Cheleiros,1A0110920,2265
União das freguesias de Malveira e São Miguel de Alcainça,1A0110921,2156
