local,codigo,Alojamentos
Roge,011907,905
São Pedro de Castelões,011902,3614
"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho",011910,2840
Valongo,1315,41799
Alfena,131501,6240
Ermesinde,131503,18116
União das freguesias de Campo e Sobrado,131506,6197
Valongo,131505,11246
Vila do Conde,1316,38792
Árvore,131602,2837
Aveleda,131603,487
Azurara,131604,1245
Fajozes,131607,606
Gião,131610,718
Guilhabreu,131611,878
Junqueira,131612,795
Labruge,131613,1531
Macieira da Maia,131614,992
Mindelo,131616,2569
Modivas,131617,715
"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada",131631,1015
União das freguesias de Fornelo e Vairão,131632,1056
União das freguesias de Malta e Canidelo,131633,862
União das freguesias de Retorta e Tougues,131634,839
União das freguesias de Rio Mau e Arcos,131635,1091
União das freguesias de Touguinha e Touguinhó,131636,1353
União das freguesias de Vilar e Mosteiró,131637,1048
Vila Chã,131627,1820
Vila do Conde,131628,15228
Vilar de Pinheiro,131630,1107
Vila Nova de Gaia,1317,144307
Arcozelo,131701,7199
Avintes,131702,4967
Canelas,131703,6005
Canidelo,131704,13763
Madalena,131709,5186
Oliveira do Douro,131712,10577
São Félix da Marinha,131717,6595
União das freguesias de Grijó e Sermonde,131725,5242
União das freguesias de Gulpilhares e Valadares,131726,10443
União das freguesias de Mafamude e Vilar do Paraíso,131727,26319
União das freguesias de Pedroso e Seixezelo,131728,8987
"União das freguesias de Sandim, Olival, Lever e Crestuma",131729,6747
União das freguesias de Santa Marinha e São Pedro da Afurada,131730,18398
União das freguesias de Serzedo e Perosinho,131731,5958
Vilar de Andorinho,131723,7921
Alto Tâmega,11B,73320
Boticas,1702,4761
Alturas do Barroso e Cerdedo,170217,447
Ardãos e Bobadela,170218,566
Beça,170203,723
Boticas e Granja,170219,986
"Codessoso, Curros e Fiães do Tâmega",170220,324
Covas do Barroso,170208,236
Dornelas,170210,337
Pinho,170213,376
Sapiãos,170215,418
Vilar e Viveiro,170221,348
Chaves,1703,28665
Águas Frias,170301,577
Anelhe,170302,307
Bustelo,170305,402
Cimo de Vila da Castanheira,170309,389
Curalha,170310,275
Ervededo,170312,654
Faiões,170313,496
Lama de Arcos,170314,307
Mairos,170316,238
Moreiras,170317,245
Nogueira da Montanha,170318,397
Oura,170320,469
Outeiro Seco,170321,524
Paradela,170322,168
Planalto de Monforte (União das freguesias de Oucidres e Bobadela),170353,283
Redondelo,170324,361
Sanfins,170327,282
Santa Leocádia,170329,262
Santa Maria Maior,170350,7960
Santo António de Monforte,170330,312
Santo Estêvão,170331,401
São Pedro de Agostém,170333,869
São Vicente,170334,276
Tronco,170340,261
União das freguesias da Madalena e Samaiões,170354,1764
"União das freguesias das Eiras, São Julião de Montenegro e Cela",170355,682
União das freguesias de Calvão e Soutelinho da Raia,170356,615
União das freguesias de Loivos e Póvoa de Agrações,170357,614
União das freguesias de Santa Cruz/Trindade e Sanjurge,170358,2180
União das freguesias de Soutelo e Seara Velha,170359,404
União das freguesias de Travancas e Roriz,170360,490
Vale de Anta,170341,845
"Vidago (União das freguesias de Vidago, Arcossó, Selhariz e Vilarinho das Paranheiras)",170361,1423
Vila Verde da Raia,170343,525
Vilar de Nantes,170344,1191
Vilarelho da Raia,170345,526
Vilas Boas,170347,155
Vilela do Tâmega,170349,295
Vilela Seca,170348,241
Montalegre,1706,10908
Cabril,170601,462
Cervos,170603,300
Chã,170604,777
Covelo do Gerês,170607,152
Ferral,170609,362
Gralhas,170612,368
Morgade,170616,213
Negrões,170618,181
Outeiro,170619,144
