local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
Panoias de Cima,090728,568
Pega,090729,108
Pêra do Moço,090730,745
Porto da Carne,090732,254
Ramela,090734,181
Santana da Azinha,090738,388
Sobral da Serra,090744,213
União de freguesias de Avelãs de Ambom e Rocamondo,090761,154
União de freguesias de Corujeira e Trinta,090762,408
"União de freguesias de Mizarela, Pêro Soares e Vila Soeiro",090763,196
União de freguesias de Pousade e Albardo,090764,214
União de freguesias de Rochoso e Monte Margarida,090765,165
Vale de Estrela,090746,336
Valhelhas,090747,303
Vela,090748,343
Videmonte,090749,353
Vila Cortês do Mondego,090750,253
Vila Fernando,090751,396
Vila Franca do Deão,090752,134
Vila Garcia,090753,304
Manteigas,0908,2820
Manteigas (Santa Maria),090802,1249
Manteigas (São Pedro),090803,1104
Sameiro,090801,274
Vale de Amoreira,090804,193
Mêda,0909,4476
Aveloso,090901,184
Barreira,090902,165
Coriscada,090905,153
Longroiva,090907,218
Marialva,090908,176
"Mêda, Outeiro de Gatos e Fonte Longa",090917,2270
Poço do Canto,090912,330
Prova e Casteição,090918,271
Rabaçal,090914,220
Ranhados,090915,234
"União das freguesias de Vale Flor, Carvalhal e Pai Penela",090919,255
Pinhel,0910,7821
Agregação das freguesias Sul de Pinhel,091028,360
Alto do Palurdo,091032,192
Alverca da Beira/Bouça Cova,091029,420
Ervedosa,091009,137
Freixedas,091010,684
Lamegal,091012,180
Lameiras,091013,200
Manigoto,091014,139
Pala,091015,393
Pinhel,091017,3195
Pínzio,091018,328
Souro Pires,091024,473
Terras de Massueime,091030,205
União das freguesias de Atalaia e Safurdão,091035,200
Valbom/Bogalhal,091031,192
Vale do Côa,091033,149
Vale do Massueime,091034,218
Vascoveiro,091027,156
Sabugal,0911,10326
Águas Belas,091101,167
Aldeia da Ponte,091103,214
Aldeia do Bispo,091102,189
Aldeia Velha,091106,368
Alfaiates,091107,319
Baraçal,091109,208
Bendada,091110,433
Bismula,091111,148
Casteleiro,091112,263
Cerdeira,091113,178
Fóios,091114,275
Malcata,091118,258
Nave,091120,193
Quadrazais,091123,339
Quintas de São Bartolomeu,091124,171
Rapoula do Côa,091125,256
Rebolosa,091126,169
Rendo,091127,212
Sortelha,091133,320
Souto,091134,1024
"União das freguesias de Aldeia da Ribeira, Vilar Maior e Badamalos",091141,266
União das freguesias de Lajeosa e Forcalhos,091142,181
"União das freguesias de Pousafoles do Bispo, Pena Lobo e Lomba",091143,354
"União das freguesias de Ruvina, Ruivós e Vale das Éguas",091144,187
União das freguesias de Santo Estêvão e Moita,091146,285
União das freguesias de Seixo do Côa e Vale Longo,091147,182
União das freguesias do Sabugal e Aldeia de Santo António,091145,2519
Vale de Espinho,091136,266
Vila Boa,091138,238
Vila do Touro,091139,144
Seia,0912,20861
Alvoco da Serra,091201,331
Girabolhos,091205,241
Loriga,091207,800
Paranhos,091208,1206
Pinhanços,091209,649
Sabugueiro,091210,366
Sandomil,091212,688
Santa Comba,091213,670
Santiago,091216,1104
Sazes da Beira,091219,187
Teixeira,091221,144
Travancinha,091224,387
União das freguesias de Carragozela e Várzea de Meruge,091230,546
União das freguesias de Sameice e Santa Eulália,091231,508
União das freguesias de Santa Marinha e São Martinho,091232,1272
"União das freguesias de Seia, São Romão e Lapa dos Dinheiros",091233,8484
União das freguesias de Torrozelo e Folhadosa,091234,620
União das freguesias de Tourais e Lajes,091235,1512
União das freguesias de Vide e Cabeça,091236,548
Valezim,091225,243
Vila Cova à Coelheira,091228,355
Trancoso,0913,8122
Aldeia Nova,091301,237
Castanheira,091303,165
Cogula,091304,144
Cótimos,091305,188
Fiães,091307,181
Granja,091309,109
Guilheiro,091310,126
Moimentinha,091311,173
Moreira de Rei,091312,411
Palhais,091313,154
Póvoa do Concelho,091314,248
Reboleiro,091315,164
Rio de Mel,091316,279
Tamanhos,091321,175
União das freguesias de Freches e Torres,091330,450
"União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho",091331,345
União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior,091332,3079
União das freguesias de Vale do Seixo e Vila Garcia,091333,186
União das freguesias de Vila Franca das Naves e Feital,091334,843
União das freguesias de Vilares e Carnicães,091335,307
Valdujo,091325,158
Área Metropolitana de Lisboa,17,2836570
Área Metropolitana de Lisboa,170,2836570
Alcochete,1502,18928
Alcochete,150201,13086
Samouco,150202,3290
São Francisco,150203,2552
Almada,1503,175267
Costa da Caparica,150303,13649
"União das freguesias de Almada, Cova da Piedade, Pragal e Cacilhas",150312,48172
União das freguesias de Caparica e Trafaria,150313,26025
União das freguesias de Charneca de Caparica e Sobreda,150314,47962
União das freguesias de Laranjeiro e Feijó,150315,39459
Amadora,1115,170770
Águas Livres,111513,37457
Alfragide,111512,16637
Encosta do Sol,111514,27039
Falagueira-Venda Nova,111515,20743
Mina de Água,111516,42757
Venteira,111517,26137
Barreiro,1504,77765
Santo António da Charneca,150407,11498
"União das freguesias de Alto do Seixalinho, Santo André e Verderena",150409,40977
União das freguesias de Barreiro e Lavradio,150410,21658
União das freguesias de Palhais e Coina,150411,3632
Cascais,1105,211030
Alcabideche,110501,42944
São Domingos de Rana,110506,58760
União das freguesias de Carcavelos e Parede,110507,45831
União das freguesias de Cascais e Estoril,110508,63495
Lisboa,1106,537274
Ajuda,110601,14157
Alcântara,110602,13736
Alvalade,110654,32413
Areeiro,110655,20906
Arroios,110656,32733
Avenidas Novas,110657,22697
Beato,110607,12109
Belém,110658,16312
Benfica,110608,35047
Campo de Ourique,110659,21865
Campolide,110610,14000
Carnide,110611,17610
Estrela,110660,19434
Lumiar,110618,45663
Marvila,110621,35099
Misericórdia,110661,9479
Olivais,110633,32015
Parque das Nações,110662,22255
Penha de França,110663,28066
Santa Clara,110664,23457
Santa Maria Maior,110665,9833
Santo António,110666,10785
São Domingos de Benfica,110639,33810
São Vicente,110667,13793
Loures,1107,199224
Bucelas,110702,4680
Fanhões,110705,2619
Loures,110707,29390
Lousa,110708,3117
"União das freguesias de Camarate, Unhos e Apelação",110731,33000
União das freguesias de Moscavide e Portela,110726,20870
União das freguesias de Sacavém e Prior Velho,110727,24602
"União das freguesias de Santa Iria de Azoia, São João da Talha e Bobadela",110728,44143
União das freguesias de Santo Antão e São Julião do Tojal,110729,8283
União das freguesias de Santo António dos Cavaleiros e Frielas,110730,28520
Mafra,1109,85287
Carvoeira,110902,2843
Encarnação,110904,4741
Ericeira,110906,12153
Mafra,110909,20599
Milharado,110911,7582
Santo Isidoro,110913,4367
União das freguesias de Azueira e Sobral da Abelheira,110918,4379
"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário",110919,3888
União das freguesias de Igreja Nova e Cheleiros,110920,4662
União das freguesias de Malveira e São Miguel de Alcainça,110921,9485
União das freguesias de Venda do Pinheiro e Santo Estêvão das Galés,110922,10588
Moita,1506,65842
Alhos Vedros,150601,16044
Moita,150603,17558
União das freguesias de Baixa da Banheira e Vale da Amoreira,150607,29980
União das freguesias de Gaio-Rosário e Sarilhos Pequenos,150608,2260
Montijo,1507,54724
Canha,150701,1446
Sarilhos Grandes,150704,3163
União das freguesias de Atalaia e Alto Estanqueiro-Jardia,150709,5348
União das freguesias de Montijo e Afonsoeiro,150710,40793
União das freguesias de Pegões,150711,3974
Odivelas,1116,147111
Odivelas,111603,59479
União das freguesias de Pontinha e Famões,111608,34926
União das freguesias de Póvoa de Santo Adrião e Olival Basto,111609,18737
União das freguesias de Ramada e Caneças,111610,33969
Oeiras,1110,169902
Barcarena,111002,14260
Porto Salvo,111009,14993
"União das freguesias de Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",111012,47717
União das freguesias de Carnaxide e Queijas,111013,35795
"União das freguesias de Oeiras e São Julião da Barra, Paço de Arcos e Caxias",111014,57137
Palmela,1508,67007
Palmela,150802,18134
Pinhal Novo,150803,26406
Quinta do Anjo,150804,14019
União das freguesias de Poceirão e Marateca,150806,8448
Seixal,1510,165372
Amora,151002,48944
Corroios,151005,50580
Fernão Ferro,151006,20352
"União das freguesias do Seixal, Arrentela e Aldeia de Paio Pires",151007,45496
Sesimbra,1511,51844
Quinta do Conde,151103,27867
Sesimbra (Castelo),151101,19963
Sesimbra (Santiago),151102,4014
Setúbal,1512,121581
Gâmbia-Pontes-Alto da Guerra,151207,6659
Sado,151208,5353
Setúbal (São Sebastião),151205,52064
União das freguesias de Azeitão (São Lourenço e São Simão),151209,20334
"União das freguesias de Setúbal (São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça)",151210,37171
Sintra,1111,381186
Algueirão-Mem Martins,111102,67700
Casal de Cambra,111115,13305
Colares,111105,7560
Rio de Mouro,111108,49213
União das freguesias de Agualva e Mira-Sintra,111122,41213
"União das freguesias de Almargem do Bispo, Pêro Pinheiro e Montelavar",111123,17038
União das freguesias de Massamá e Monte Abraão,111125,47720
União das freguesias de Queluz e Belas,111126,51180
União das freguesias de São João das Lampas e Terrugem,111127,17691
"União das freguesias de Sintra (Santa Maria e São Miguel, São Martinho e São Pedro de Penaferrim)",111128,28936
União das freguesias do Cacém e São Marcos,111124,39630
Vila Franca de Xira,1114,136456
"União das freguesias de Alhandra, São João dos Montes e Calhandriz",111412,12490
União das freguesias de Alverca do Ribatejo e Sobralinho,111413,36149
União das freguesias de Castanheira do Ribatejo e Cachoeiras,111414,7862
União das freguesias de Póvoa de Santa Iria e Forte da Casa,111415,40675
Vialonga,111408,21152
Vila Franca de Xira,111409,18128
Alentejo,18,682316
Alentejo Litoral,181,93250
Alcácer do Sal,1501,10868
Comporta,150106,1093
São Martinho,150105,328
Torrão,150104,1872
União das freguesias de Alcácer do Sal (Santa Maria do Castelo e Santiago) e Santa Susana,150107,7575
Grândola,1505,13119
Azinheira dos Barros e São Mamede do Sádão,150501,534
Carvalhal,150505,1015
Melides,150503,1434
União das freguesias de Grândola e Santa Margarida da Serra,150506,10136
Odemira,0211,27910
Boavista dos Pinheiros,021116,1891
Colos,021118,779
Longueira/Almograve,021117,1562
Luzianes-Gare,021115,368
Relíquias,021102,947
Sabóia,021103,857
Santa Clara-a-Velha,021119,633
São Luís,021106,1838
São Martinho das Amoreiras,021107,872
São Salvador e Santa Maria,021120,3247
São Teotónio,021121,8514
Vale de Santiago,021122,820
Vila Nova de Milfontes,021111,5582
Santiago do Cacém,1509,27405
Abela,150901,785
Alvalade,150902,1746
Cercal,150903,2953
Ermidas-Sado,150904,2055
Santo André,150907,10283
São Francisco da Serra,150910,737
"União das freguesias de Santiago do Cacém, Santa Cruz e São Bartolomeu da Serra",150912,7677
União das freguesias de São Domingos e Vale de Água,150913,1169
Sines,1513,13948
Porto Covo,151302,1080
Sines,151301,12868
Baixo Alentejo,184,110079
Aljustrel,0201,8657
Ervidel,020102,859
Messejana,020103,778
São João de Negrilhos,020104,1346
União das freguesias de Aljustrel e Rio de Moinhos,020106,5674
Almodôvar,0202,6493
Aldeia dos Fernandes,020208,515
Rosário,020203,570
Santa Cruz,020205,482
São Barnabé,020206,337
União das freguesias de Almodôvar e Graça dos Padrões,020209,3805
União das freguesias de Santa Clara-a-Nova e Gomes Aires,020210,784
Alvito,0203,2142
Alvito,020301,1104
Vila Nova da Baronia,020302,1038
Barrancos,0204,1398
Barrancos,020401,1398
Beja,0205,31833
Baleizão,020502,884
Beringel,020503,1172
Cabeça Gorda,020504,1104
Nossa Senhora das Neves,020506,1505
Santa Clara de Louredo,020510,608
São Matias,020516,513
União das freguesias de Albernoa e Trindade,020519,832
União das freguesias de Beja (Salvador e Santa Maria da Feira),020520,10001
União das freguesias de Beja (Santiago Maior e São João Baptista),020521,12850
União das freguesias de Salvada e Quintos,020522,1138
União das freguesias de Santa Vitória e Mombeja,020523,765
União das freguesias de Trigaches e São Brissos,020524,461
Castro Verde,0206,6624
Entradas,020603,536
Santa Bárbara de Padrões,020604,687
São Marcos da Ataboeira,020605,260
União das freguesias de Castro Verde e Casével,020606,5141
Cuba,0207,4180
Cuba,020701,3010
Faro do Alentejo,020702,478
Vila Alva,020703,327
Vila Ruiva,020704,365
Ferreira do Alentejo,0208,7124
Figueira dos Cavaleiros,020803,1115
Odivelas,020804,455
União das freguesias de Alfundão e Peroguarda,020807,1106
União das freguesias de Ferreira do Alentejo e Canhestros,020808,4448
Mértola,0209,6070
Alcaria Ruiva,020901,630
Corte do Pinto,020902,735
Espírito Santo,020903,329
Mértola,020904,2424
Santana de Cambas,020905,697
São João dos Caldeireiros,020906,440
"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",020910,815
Moura,0210,12655
Amareleja,021001,1961
Póvoa de São Miguel,021002,761
Sobral da Adiça,021008,827
União das freguesias de Moura (Santo Agostinho e São João Baptista) e Santo Amador,021009,7617
União das freguesias de Safara e Santo Aleixo da Restauração,021010,1489
Ourique,0212,4661
Ourique,021203,2729
Santana da Serra,021206,629
União das freguesias de Garvão e Santa Luzia,021207,837
União das freguesias de Panoias e Conceição,021208,466
Serpa,0213,13367
Brinches,021302,866
Pias,021303,2409
União das freguesias de Serpa (Salvador e Santa Maria),021308,5474
União das freguesias de Vila Nova de São Bento e Vale de Vargo,021309,3396
Vila Verde de Ficalho,021307,1222
Vidigueira,0214,4875
Pedrógão,021401,937
Selmes,021402,709
Vidigueira,021403,2481
Vila de Frades,021404,748
Lezíria do Tejo,185,230314
Almeirim,1403,21715
Almeirim,140301,12147
Benfica do Ribatejo,140302,2763
Fazendas de Almeirim,140303,6309
Raposa,140304,496
Alpiarça,1404,6831
Alpiarça,140401,6831
Azambuja,1103,20097
Alcoentre,110301,2263
Aveiras de Baixo,110302,1305
Aveiras de Cima,110303,4550
Azambuja,110304,8120
"União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa",110310,2003
Vale do Paraíso,110306,938
Vila Nova da Rainha,110307,918
Benavente,1405,29187
Barrosa,140504,626
Benavente,140501,9213
Samora Correia,140502,17369
Santo Estêvão,140503,1979
Cartaxo,1406,22836
Pontével,140604,4284
União das freguesias de Ereira e Lapa,140610,1687
União das freguesias do Cartaxo e Vale da Pinta,140609,12128
Valada,140605,679
Vale da Pedra,140608,1589
Vila Chã de Ourique,140607,2469
Chamusca,1407,8343
Carregueira,140707,1679
Ulme,140704,1000
União das freguesias da Chamusca e Pinheiro Grande,140708,3638
União das freguesias de Parreira e Chouto,140709,1230
Vale de Cavalos,140705,796
Coruche,1409,16809
Biscainho,140907,924
Branca,140905,1300
Couço,140902,2166
Santana do Mato,140908,945
São José da Lamarosa,140903,1420
"União das freguesias de Coruche, Fajarda e Erra",140909,10054
Golegã,1412,5296
Azinhaga,141201,1414
Golegã,141202,3487
Pombalinho,141203,395
Rio Maior,1414,20716
Alcobertas,141401,1702
Arrouquelas,141402,598
Asseiceira,141410,1122
Fráguas,141405,805
Rio Maior,141408,12324
São Sebastião,141411,462
União das freguesias de Azambujeira e Malaqueijo,141415,797
União das freguesias de Marmeleira e Assentiz,141416,792
União das freguesias de Outeiro da Cortiçada e Arruda dos Pisões,141417,957
União das freguesias de São João da Ribeira e Ribeira de São João,141418,1157
Salvaterra de Magos,1415,20965
Marinhais,141502,6084
Muge,141503,1137
União das freguesias de Glória do Ribatejo e Granho,141507,3717
União das freguesias de Salvaterra de Magos e Foros de Salvaterra,141508,10027
Santarém,1416,57519
Abitureiras,141601,869
Abrã,141602,980
Alcanede,141604,3901
Alcanhões,141605,1320
Almoster,141606,1516
Amiais de Baixo,141607,1584
Arneiro das Milhariças,141608,736
Gançaria,141628,485
Moçarria,141613,935
Pernes,141614,1152
Póvoa da Isenta,141616,1024
"União das freguesias de Achete, Azoia de Baixo e Póvoa de Santarém",141629,2620
União das freguesias de Azoia de Cima e Tremês,141630,2154
União das freguesias de Casével e Vaqueiros,141631,1019
União das freguesias de Romeira e Várzea,141632,2387
União das freguesias de São Vicente do Paul e Vale de Figueira,141634,2585
União de freguesias da cidade de Santarém,141633,29526
Vale de Santarém,141625,2726
Alto Alentejo,186,100293
Alter do Chão,1201,2837
Alter do Chão,120101,1911
Chancelaria,120102,347
Cunheira,120104,253
Seda,120103,326
Arronches,1202,2579
Assunção,120201,1679
Esperança,120202,561
Mosteiros,120203,339
Avis,1203,3534
Aldeia Velha,120302,213
Avis,120303,1485
Ervedal,120305,432
Figueira e Barros,120306,248
União das freguesias de Alcórrego e Maranhão,120309,413
União das freguesias de Benavila e Valongo,120310,743
Campo Maior,1204,7934
Nossa Senhora da Expectação,120401,3615
Nossa Senhora da Graça dos Degolados,120402,607
São João Baptista,120403,3712
Castelo de Vide,1205,2876
Nossa Senhora da Graça de Póvoa e Meadas,120501,482
Santa Maria da Devesa,120502,1364
Santiago Maior,120503,328
São João Baptista,120504,702
Crato,1206,2969
Aldeia da Mata,120601,251
Gáfete,120604,647
Monte da Pedra,120605,222
"União das freguesias de Crato e Mártires, Flor da Rosa e Vale do Peso",120607,1849
Elvas,1207,20108
"Assunção, Ajuda, Salvador e Santo Ildefonso",120712,8814
"Caia, São Pedro e Alcáçova",120713,5285
Santa Eulália,120706,984
São Brás e São Lourenço,120707,1629
São Vicente e Ventosa,120708,667
União das freguesias de Barbacena e Vila Fernando,120714,712
União das freguesias de Terrugem e Vila Boim,120715,2017
Fronteira,1208,2724
Cabeço de Vide,120801,857
Fronteira,120802,1633
São Saturnino,120803,234
Gavião,1209,3160
Belver,120902,519
Comenda,120903,652
Margem,120905,612
União das freguesias de Gavião e Atalaia,120906,1377
Marvão,1210,2813
Beirã,121001,425
Santa Maria de Marvão,121002,307
Santo António das Areias,121003,902
São Salvador da Aramenha,121004,1179
Monforte,1211,2482
Assumar,121101,423
Monforte,121102,1097
Santo Aleixo,121103,467
Vaiamonte,121104,495
Nisa,1212,5605
Alpalhão,121201,960
Montalvão,121205,256
Santana,121207,238
São Matias,121208,197
Tolosa,121210,745
União das freguesias de Arez e Amieira do Tejo,121211,332
"União das freguesias de Espírito Santo, Nossa Senhora da Graça e São Simão",121212,2877
Ponte de Sor,1213,14717
Foros de Arrão,121304,771
Galveias,121301,966
Longomel,121305,977
Montargil,121302,1849
"União das freguesias de Ponte de Sor, Tramaga e Vale de Açor",121308,10154
Portalegre,1214,21768
Alagoa,121401,511
Alegrete,121402,1383
Fortios,121404,1713
União das freguesias da Sé e São Lourenço,121411,14047
União das freguesias de Reguengo e São Julião,121412,822
União das freguesias de Ribeira de Nisa e Carreiras,121413,1653
Urra,121410,1639
Sousel,1215,4187
Cano,121501,1024
Casa Branca,121502,934
Santo Amaro,121503,523
Sousel,121504,1706
Alentejo Central,187,148380
Alandroal,0701,4839
Capelins (Santo António),070104,398
Santiago Maior,070103,1833
Terena (São Pedro),070105,644
"União das freguesias de Alandroal (Nossa Senhora da Conceição), São Brás dos Matos (Mina do Bugalho) e Juromenha (Nossa Senhora do Loreto)",070107,1964
Arraiolos,0702,6450
Arraiolos,070201,3097
Igrejinha,070202,929
União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro,070208,720
União das freguesias de São Gregório e Santa Justa,070209,437
Vimieiro,070206,1267
Borba,0703,6232
Borba (Matriz),070301,3274
Borba (São Bartolomeu),070304,586
Orada,070302,577
Rio de Moinhos,070303,1795
Estremoz,0704,12303
Arcos,070401,998
Évora Monte (Santa Maria),070404,471
Glória,070402,448
São Domingos de Ana Loura,070411,269
União das freguesias de Estremoz (Santa Maria e Santo André),070414,7639
União das freguesias de São Bento do Cortiço e Santo Estêvão,070415,666
União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura,070416,434
União das freguesias do Ameixial (Santa Vitória e São Bento),070417,564
Veiros,070413,814
Évora,0705,52576
Canaviais,070515,3194
Nossa Senhora da Graça do Divor,070502,455
Nossa Senhora de Machede,070503,924
São Bento do Mato,070506,947
São Miguel de Machede,070509,659
Torre de Coelheiros,070513,503
União das freguesias de Bacelo e Senhora da Saúde,070522,17610
"União das freguesias de Évora (São Mamede, Sé, São Pedro e Santo Antão)",070523,4260
União das freguesias de Malagueira e Horta das Figueiras,070524,21094
União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,070525,995
União das freguesias de São Manços e São Vicente do Pigeiro,070526,1070
União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé,070527,865
Montemor-o-Novo,0706,15267
Cabrela,070601,469
Ciborro,070607,576
Foros de Vale de Figueira,070610,953
Santiago do Escoural,070605,1018
São Cristóvão,070606,474
União das freguesias de Cortiçadas de Lavre e Lavre,070611,1260
"União das freguesias de Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",070612,10517
Mora,0707,3874
Brotas,070701,317
Cabeção,070702,761
Mora,070703,2104
Pavia,070704,692
Mourão,0708,2119
Granja,070801,492
Luz,070802,276
Mourão,070803,1351
Portel,0709,5610
Monte do Trigo,070903,1100
Portel,070905,2323
Santana,070906,474
União das freguesias de Amieira e Alqueva,070909,531
União das freguesias de São Bartolomeu do Outeiro e Oriola,070910,804
Vera Cruz,070908,378
Redondo,0710,6169
Montoito,071001,995
Redondo,071002,5174
Reguengos de Monsaraz,0711,9628
Corval,071102,1273
Monsaraz,071103,646
Reguengos de Monsaraz,071104,6618
União das freguesias de Campo e Campinho,071106,1091
Vendas Novas,0712,10963
Landeira,071202,620
Vendas Novas,071201,10343
Viana do Alentejo,0713,5098
Aguiar,071303,819
Alcáçovas,071301,1844
Viana do Alentejo,071302,2435
Vila Viçosa,0714,7252
Bencatel,071401,1479
Ciladas,071402,800
Nossa Senhora da Conceição e São Bartolomeu,071406,4516
Pardais,071404,457
Algarve,15,459683
Algarve,150,459683
Albufeira,0801,43634
Albufeira e Olhos de Água,080106,28348
Ferreiras,080104,7259
Guia,080102,4610
Paderne,080103,3417
Alcoutim,0802,2368
Giões,080202,152
Martim Longo,080203,892
União das freguesias de Alcoutim e Pereiro,080206,991
Vaqueiros,080205,333
Aljezur,0803,5926
Aljezur,080301,3360
Bordeira,080302,363
Odeceixe,080303,1041
Rogil,080304,1162
Castro Marim,0804,6239
Altura,080404,2067
Azinhal,080401,449
Castro Marim,080402,3147
Odeleite,080403,576
Faro,0805,66392
Montenegro,080506,8588
Santa Bárbara de Nexe,080503,4205
União das freguesias de Conceição e Estoi,080507,8088
União das freguesias de Faro (Sé e São Pedro),080508,45511
Lagoa,0806,23388
Ferragudo,080602,1910
Porches,080604,2217
União das freguesias de Estômbar e Parchal,080607,9225
União das freguesias de Lagoa e Carvoeiro,080608,10036
Lagos,0807,32817
Luz,080703,4233
Odiáxere,080704,3006
São Gonçalo de Lagos,080708,23235
União das freguesias de Bensafrim e Barão de São João,080707,2343
Loulé,0808,71583
Almancil,080801,11190
Alte,080802,1728
Ameixial,080803,352
Boliqueime,080804,4709
Loulé (São Clemente),080808,17767
Loulé (São Sebastião),080809,6765
Quarteira,080805,24258
Salir,080807,2408
"União de freguesias de Querença, Tôr e Benafim",080812,2406
Monchique,0809,5338
Alferce,080901,378
Marmelete,080902,662
Monchique,080903,4298
Olhão,0810,43967
Olhão,081003,14093
Pechão,081004,3738
Quelfes,081005,17030
União das freguesias de Moncarapacho e Fuseta,081006,9106
Portimão,0811,58781
Alvor,081101,6170
Mexilhoeira Grande,081102,4065
Portimão,081103,48546
São Brás de Alportel,0812,11110
São Brás de Alportel,081201,11110
Silves,0813,37214
Armação de Pêra,081303,5943
São Bartolomeu de Messines,081305,8061
São Marcos da Serra,081306,1106
Silves,081307,10484
União das freguesias de Alcantarilha e Pêra,081309,4889
União das freguesias de Algoz e Tunes,081310,6731
Tavira,0814,26956
Cachopo,081401,441
Santa Catarina da Fonte do Bispo,081404,1801
Santa Luzia,081408,1587
União das freguesias de Conceição e Cabanas de Tavira,081410,3238
União das freguesias de Luz de Tavira e Santo Estêvão,081411,4698
União das freguesias de Tavira (Santa Maria e Santiago),081412,15191
Vila do Bispo,0815,5456
Barão de São Miguel,081501,519
Budens,081502,1788
Sagres,081504,1792
Vila do Bispo e Raposeira,081506,1357
Vila Real de Santo António,0816,18514
Monte Gordo,081603,3173
Vila Nova de Cacela,081601,3746
Vila Real de Santo António,081602,11595
Região Autónoma dos Açores,2,232758
Região Autónoma dos Açores,20,232758
Região Autónoma dos Açores,200,232758
Angra do Heroísmo,4301,32696
Altares,430101,822
Angra (Nossa Senhora da Conceição),430102,3199
Angra (Santa Luzia),430103,2113
Angra (São Pedro),430104,3148
Angra (Sé),430105,839
Cinco Ribeiras,430106,666
Doze Ribeiras,430107,431
Feteira,430108,1343
Porto Judeu,430109,2293
Posto Santo,430110,1031
Raminho,430111,451
Ribeirinha,430112,2480
Santa Bárbara,430113,1273
São Bartolomeu de Regatos,430114,1936
São Bento,430115,1868
São Mateus da Calheta,430116,3774
Serreta,430117,313
Terra Chã,430118,2686
Vila de São Sebastião,430119,2030
Calheta,4501,3395
Calheta,450101,1237
Norte Pequeno,450102,196
Ribeira Seca,450103,897
Santo Antão,450104,625
Topo (Nossa Senhora do Rosário),450105,440
Corvo,4901,378
Corvo,490101,378
Horta,4701,14123
Capelo,470101,514
Castelo Branco,470102,1249
Cedros,470103,858
Feteira,470104,1776
Flamengos,470105,1552
Horta (Angústias),470106,2125
Horta (Conceição),470107,1046
Horta (Matriz),470108,2291
Pedro Miguel,470109,737
Praia do Almoxarife,470110,962
Praia do Norte,470111,257
Ribeirinha,470112,402
Salão,470113,354
Lagoa,4201,14121
Água de Pau,420101,2919
Cabouco,420102,1968
Lagoa (Nossa Senhora do Rosário),420103,5394
Lagoa (Santa Cruz),420104,3476
Ribeira Chã,420105,364
Lajes das Flores,4801,1359
Fajã Grande,480101,218
Fajãzinha,480102,71
Fazenda,480103,261
Lajedo,480104,74
Lajes das Flores,480105,520
Lomba,480106,196
Mosteiro,480107,19
Lajes do Pico,4601,4298
Calheta de Nesquim,460101,318
Lajes do Pico,460102,1706
Piedade,460103,735
Ribeiras,460104,787
Ribeirinha,460105,343
São João,460106,409
Madalena,4602,6166
Bandeiras,460201,710
Candelária,460202,807
Criação Velha,460203,809
Madalena,460204,2751
São Caetano,460205,414
São Mateus,460206,675
Nordeste,4202,4297
Achada,420201,387
Achadinha,420202,463
Algarvia,420208,240
Lomba da Fazenda,420203,749
Nordeste,420204,1096
Salga,420206,477
Santana,420207,380
Santo António de Nordestinho,420209,260
São Pedro de Nordestinho,420210,245
Ponta Delgada,4203,66343
Ajuda da Bretanha,420323,652
Arrifes,420301,7280
Candelária,420303,976
Capelas,420304,3981
Covoada,420305,1223
Fajã de Baixo,420306,4762
Fajã de Cima,420307,3244
Fenais da Luz,420308,2226
Feteiras,420309,1557
Ginetes,420310,1184
Mosteiros,420311,1021
Pilar da Bretanha,420324,576
Ponta Delgada (São José),420313,5455
Ponta Delgada (São Pedro),420314,7364
Ponta Delgada (São Sebastião),420312,3961
Relva,420315,2877
Remédios,420316,809
Rosto do Cão (Livramento),420317,4307
Rosto do Cão (São Roque),420318,4563
Santa Bárbara,420319,846
Santa Clara,420325,2706
Santo António,420320,1574
São Vicente Ferreira,420321,2498
Sete Cidades,420322,701
Povoação,4204,5730
Água Retorta,420401,429
Faial da Terra,420402,342
Furnas,420403,1396
Nossa Senhora dos Remédios,420404,1061
Povoação,420405,1820
Ribeira Quente,420406,682
Ribeira Grande,4205,31178
Calhetas,420501,903
Fenais da Ajuda,420502,890
Lomba da Maia,420503,1048
Lomba de São Pedro,420504,348
Maia,420505,1760
Pico da Pedra,420506,3003
Porto Formoso,420507,1096
Rabo de Peixe,420508,8756
Ribeira Grande (Conceição),420509,2608
Ribeira Grande (Matriz),420510,3715
Ribeira Seca,420511,2771
Ribeirinha,420512,2510
Santa Bárbara,420513,1188
São Brás,420514,582
