local,codigo,"População residente (N.º) nos alojamentos familiares clássicos por Local de residência à data dos Censos [2021] (NUTS - 2013), Época de construção (antes 1919; 2011-2021) e Tipo de entidade proprietária; Decenal"
"União das freguesias de Sande, Vilarinho, Barros e Gomide",031367,1411
"União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",031368,554
União das freguesias do Vade,031369,1453
Valdreu,031355,434
Vila de Prado,031342,4394
Vila Verde e Barbudo,031370,7203
Ave,119,413807
Cabeceiras de Basto,0304,15311
Abadim,030401,472
Basto,030404,893
Bucos,030405,457
Cabeceiras de Basto,030406,592
Cavez,030407,1085
Faia,030408,536
Pedraça,030413,694
Rio Douro,030415,815
União das freguesias de Alvite e Passos,030418,1039
União das freguesias de Arco de Baúlhe e Vila Nune,030419,1903
União das freguesias de Gondiães e Vilar de Cunhas,030420,347
"União das freguesias de Refojos de Basto, Outeiro e Painzela",030421,6478
Fafe,0307,47876
Armil,030705,687
Arões (Santa Cristina),030726,1548
Arões (São Romão),030730,3256
Estorãos,030708,1540
Fafe,030709,15276
Fornelos,030712,1314
Golães,030714,2024
Medelo,030716,1492
Paços,030719,996
Quinchães,030722,2100
Regadas,030723,1501
Revelhe,030724,773
Ribeiros,030725,545
São Gens,030728,1643
Silvares (São Martinho),030729,1210
Travassós,030733,1394
"União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",030737,772
União de freguesias de Agrela e Serafão,030738,1208
União de freguesias de Antime e Silvares (São Clemente),030739,1930
"União de freguesias de Ardegão, Arnozela e Seidões",030740,943
União de freguesias de Cepães e Fareja,030741,2110
União de freguesias de Freitas e Vila Cova,030742,729
União de freguesias de Monte e Queimadela,030743,659
União de freguesias de Moreira do Rei e Várzea Cova,030744,1656
Vinhós,030736,570
Guimarães,0308,155193
Aldão,030801,1277
Azurém,030804,8983
Barco,030806,1437
Brito,030807,4709
Caldelas,030808,6211
Candoso (São Martinho),030857,1234
Costa,030812,5392
Creixomil,030813,9615
Fermentões,030815,5739
Gonça,030820,954
Gondar,030821,2581
Guardizela,030823,2368
Infantas,030824,1740
Longos,030827,1327
Lordelo,030828,3964
Mesão Frio,030830,4159
Moreira de Cónegos,030831,4605
Nespereira,030832,2585
Pencelo,030835,1203
Pinheiro,030836,1135
Polvoreira,030837,3402
Ponte,030838,6664
Prazins (Santa Eufémia),030842,1267
Ronfe,030840,4446
Sande (São Martinho),030858,2239
São Torcato,030865,3306
Selho (São Cristóvão),030850,2117
Selho (São Jorge),030854,5814
Serzedelo,030866,3418
Silvares,030868,2250
União das freguesias de Abação e Gémeos,030875,2682
"União das freguesias de Airão Santa Maria, Airão São João e Vermil",030876,3167
União das freguesias de Arosa e Castelões,030877,699
União das freguesias de Atães e Rendufe,030878,2567
União das freguesias de Briteiros Santo Estêvão e Donim,030879,1982
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,030880,1687
União das freguesias de Candoso São Tiago e Mascotelos,030881,3764
União das freguesias de Conde e Gandarela,030882,2464
"União das freguesias de Leitões, Oleiros e Figueiredo",030883,1437
"União das freguesias de Oliveira, São Paio e São Sebastião",030884,7444
União das freguesias de Prazins Santo Tirso e Corvite,030885,1939
União das freguesias de Sande São Lourenço e Balazar,030886,1584
União das freguesias de Sande Vila Nova e Sande São Clemente,030887,3231
União das freguesias de Selho São Lourenço e Gominhães,030888,2269
União das freguesias de Serzedo e Calvos,030889,2263
"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",030890,2043
União das freguesias de Tabuadelo e São Faustino,030891,2415
Urgezes,030871,5415
Mondim de Basto,1705,6276
Atei,170501,1144
Bilhó,170502,429
São Cristóvão de Mondim de Basto,170505,2837
União das freguesias de Campanhó e Paradança,170509,600
União das freguesias de Ermelo e Pardelhas,170510,378
Vilar de Ferreiros,170508,888
Póvoa de Lanhoso,0309,21402
Covelas,030906,406
Ferreiros,030908,410
Galegos,030912,559
Garfe,030913,980
Geraz do Minho,030914,542
Lanhoso,030915,715
Monsul,030917,713
Póvoa de Lanhoso (Nossa Senhora do Amparo),030919,5502
Rendufinho,030921,650
Santo Emilião,030922,805
São João de Rei,030923,365
Serzedelo,030924,711
